matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
338,1000,2498,0.0271778,0.0268412,0.60104,0.434646,0.483837,0.433
319,1000,2498,0.0316618,0.0297901,1.0635,0.489814,0.602726,0.8129
242,1000,2375,0.0285624,0.0331106,0.0487712,0.0570816,0.0604128,0.0338
240,1000,2375,0.029656,0.0333743,0.0494016,0.0576224,0.0607168,0.0347
909,1015,6009,0.0335739,0.0381742,0.0895968,0.0568256,0.0565248,0.0325
1896,1020,3795,0.0303347,0.0330077,0.0567328,0.0349888,0.0338944,0.0207
2366,1028,2061,0.0330746,0.0309342,0.154288,0.126445,0.0833536,0.1014
2358,1028,2061,0.0284701,0.0306233,0.154474,0.126234,0.0838656,0.1015
225,1030,3944,0.0293823,0.0332141,0.0680384,0.0576512,0.0582656,0.034
1188,1041,5358,0.0353748,0.0429987,0.126403,0.104704,0.0777216,0.0563
838,1048,1951,0.0282395,0.0309251,0.110685,0.0485824,0.0572416,0.0495
358,1050,15103,0.0465021,0.055905,0.17905,0.0953024,0.068912,0.0685
63,1074,1074,0.0258011,0.0296576,0.0071552,0.0151264,0.0148512,0.009
30,1074,7017,0.036606,0.0439875,0.208054,0.140429,0.125232,0.0853
243,1080,11040,0.0430227,0.0517038,0.163117,0.109866,0.08008,0.0723
64,1083,1083,0.025159,0.0234391,0.0071584,0.0141536,0.0144448,0.0102
31,1083,9760,0.0365206,0.038384,0.279917,0.157642,0.134144,0.1016
65,1086,11589,0.0385944,0.0474985,0.327123,0.295069,0.252317,0.2476
32,1086,11578,0.0387365,0.0422831,0.332675,0.290275,0.251802,0.2475
451,1089,3424,0.0302334,0.0311679,0.0471136,0.0307584,0.0288704,0.0184
450,1089,3389,0.0297597,0.0332338,0.0471936,0.0300768,0.0286688,0.018
1637,1090,2421,0.0282247,0.0288951,0.053008,0.0400096,0.0294944,0.0303
245,1104,2445,0.0270912,0.0297488,0.0390784,0.05112,0.0583648,0.0292
160,1107,4591,0.0323804,0.0369139,0.0659424,0.0559264,0.064,0.0323
1,1138,2596,0.0282046,0.0337339,0.0498912,0.0423488,0.0388128,0.0249
1346,1157,3470,0.0326343,0.0340047,0.0525344,0.0465024,0.0405472,0.0291
429,1159,6251,0.034565,0.0366338,0.188288,0.192854,0.170083,0.115
2370,1182,2380,0.0319283,0.0316231,0.0741792,0.0768832,0.0408608,0.0449
2362,1182,2380,0.0318415,0.0323588,0.0741088,0.0767776,0.0414752,0.0449
388,1182,16763,0.046391,0.0566792,0.258362,0.286208,0.178579,0.169
387,1182,17465,0.0428792,0.054069,0.229299,0.276755,0.178787,0.1696
386,1182,16763,0.0440187,0.0595405,0.259843,0.285578,0.179302,0.1703
385,1182,17465,0.0430875,0.0578867,0.228659,0.27632,0.180227,0.1696
384,1182,16763,0.0456148,0.0578644,0.258893,0.286909,0.178995,0.1691
1107,1220,4334,0.0320912,0.0336319,0.0335072,0.027424,0.0290784,0.0147
1106,1220,4334,0.0316737,0.0359364,0.0337664,0.0280736,0.0286752,0.0156
1105,1220,3858,0.0275693,0.0327867,0.0268192,0.0256032,0.026112,0.0133
1104,1220,3858,0.0285973,0.0316715,0.0270048,0.0252096,0.0260128,0.0139
1103,1220,3858,0.0298469,0.0336098,0.0270848,0.0251648,0.0260064,0.0134
1102,1220,3858,0.0297408,0.0349135,0.0267488,0.0251744,0.026,0.0134
1101,1220,3858,0.0292293,0.0321378,0.0267264,0.0254656,0.025904,0.0132
1100,1220,3858,0.0293389,0.0337908,0.027232,0.0248512,0.0258048,0.0133
1099,1220,3858,0.0285447,0.0311901,0.0268608,0.0253376,0.02632,0.0134
1098,1220,3858,0.0306042,0.0372388,0.0268704,0.025248,0.0262112,0.0145
1097,1220,3858,0.0317363,0.0305593,0.0275264,0.0253344,0.0261056,0.0146
1096,1220,3858,0.0290132,0.0363323,0.0267936,0.0254464,0.0261152,0.0132
1095,1220,3858,0.0307768,0.0357769,0.0266624,0.0255584,0.0260032,0.0134
1094,1220,3858,0.0280923,0.0323754,0.0266368,0.0270496,0.026112,0.0133
1093,1220,3858,0.0312652,0.030798,0.0268704,0.0256576,0.0263136,0.0135
1092,1220,3858,0.031088,0.0323228,0.0272288,0.0255712,0.0265248,0.0134
1091,1220,3858,0.0297939,0.0344792,0.0272288,0.025264,0.0262144,0.0133
1090,1220,3858,0.0312128,0.0307333,0.026656,0.0254208,0.0260096,0.0133
1089,1220,3858,0.0297988,0.0334094,0.0265472,0.0252736,0.0261024,0.0133
1088,1220,3858,0.031883,0.0310867,0.0269152,0.0253792,0.0263136,0.0145
1087,1220,3858,0.0290146,0.0343851,0.0269984,0.0252512,0.0261152,0.0133
1086,1220,3858,0.0317439,0.0356307,0.0265664,0.0252192,0.0261152,0.0135
1085,1220,3858,0.0288806,0.0345377,0.0266656,0.0252864,0.026416,0.0145
1084,1220,3858,0.0293865,0.0316605,0.027296,0.0251072,0.0260096,0.0133
1083,1220,3858,0.0342888,0.0338974,0.0267488,0.0254144,0.026208,0.0133
1082,1220,3858,0.029952,0.0342465,0.0266176,0.0255456,0.0259008,0.0145
1081,1220,3858,0.0318593,0.0346362,0.0267264,0.0252864,0.0254912,0.0134
1080,1220,3858,0.0296066,0.0316807,0.027264,0.0251424,0.0257024,0.0144
1079,1220,3858,0.0317457,0.0319321,0.0270112,0.0250208,0.0261088,0.0136
1078,1220,3858,0.0303576,0.0345054,0.026608,0.0250016,0.0259008,0.0146
1077,1220,3858,0.0302514,0.0322101,0.0266208,0.0253952,0.026208,0.0134
1076,1220,3858,0.0304043,0.0381916,0.0267648,0.0252384,0.0261088,0.0133
1075,1220,3858,0.0296793,0.0310702,0.0267328,0.0254368,0.0263168,0.0145
1074,1220,3858,0.0317321,0.0359029,0.0271264,0.0260704,0.0262144,0.0134
1073,1220,3858,0.0307014,0.0306959,0.0270528,0.02528,0.0260064,0.0135
