matID,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
1362,18.0665,19.2158,332.205,235.121,272.134,262.0693
936,2.94285,2.67372,15.6598,11.0322,8.02929,8.2742
1867,2.21954,2.57405,32.5335,37.9782,30.3107,23.223
938,16.5225,17.3559,39.1813,28.9962,14.1271,17.2902
287,0.0320083,0.0455351,0.38895,0.323709,0.193027,0.2508
820,1.23002,1.38218,10.5241,21.4528,22.7758,5.2626
971,13.675,14.1929,31.4252,32.9055,33.0066,16.447
1629,0.0322414,0.0319832,0.0760224,0.0976192,0.101277,0.0553
1852,3.7451,3.79372,14.9519,22.443,24.5885,6.0845
811,1.20435,1.51631,1.89464,5.80377,14.3298,0.6746
1880,1.53618,2.04689,5.26859,5.45652,3.65804,2.2188
1643,1.46435,1.63724,2.99665,5.27602,3.44002,1.6164
2336,10.1288,13.1627,13.7081,12.5155,20.9137,20.8747
812,1.27135,1.67904,3.46687,5.73516,2.97205,1.6316
896,8.25685,8.47138,49.172,14.0674,14.027,5.1207
1580,23.2159,23.6956,26.8886,21.4999,64.4268,55.0948
973,6.58302,7.04047,9.20987,7.82452,13.9794,3.6904
972,6.68109,7.31118,9.24145,8.60556,14.7448,3.7321
963,4.70879,5.82389,5.65952,6.15755,10.5904,2.6991
948,23.3579,23.6558,16.0789,10.897,101.476,76.5898
931,1.59885,1.7366,1.14099,1.39372,1.12199,0.35
932,2.72752,3.06115,1.06925,0.812979,0.786429,0.3475
1858,1.47664,1.58601,2.58259,6.74345,19.38,2.4321
2260,3.60591,3.91347,1.99397,1.58872,0.771888,0.9153
802,4.71197,4.83608,1.57013,0.932851,4.21949,2.3732
2547,32.2962,32.8609,13.6965,8.42634,39.953,13.2379
928,2.03783,2.49938,0.63575,0.406736,0.438781,0.2569
898,5.4859,5.63661,1.37408,0.843082,9.77674,3.4659
2267,16.1626,15.1795,2.58324,2.44038,216.11,29.0884
2266,13.97,12.917,2.08984,2.15198,176.997,19.4953
914,10.3947,10.5405,0.62863,0.614422,2.4237,1.1667
2216,35.5636,34.1645,2.4224,4.03773,6.07969,4.3206
2277,33.9736,31.3724,2.80317,4.34664,6.53537,4.4911
1420,4.13057,3.87417,0.458656,0.708954,0.981709,0.6709
915,39.8956,41.1377,1.5006,1.9773,6.29125,3.4061
916,153.751,151.34,4.63998,6.88575,20.167,11.4812
1893,5.55374,5.17868,0.187171,0.526109,0.480448,0.3097
