Platform,Matrix ID,Degree of Parallelism,Execution Time,Winner
NVIDIA Tesla V100,1362,1,235.121,0
NVIDIA Tesla V100,1629,25,0.0553,0
NVIDIA Tesla V100,1420,13933,0.458656,1
NVIDIA Tesla V100,1580,74,21.4999,1
NVIDIA Tesla V100,287,6,0.193027,0
NVIDIA Tesla V100,1643,52,1.6164,0
NVIDIA Tesla V100,1852,39,6.0845,0
NVIDIA Tesla V100,1858,267,2.4321,0
NVIDIA Tesla V100,938,5,14.1271,1
NVIDIA Tesla V100,1867,4,23.223,0
NVIDIA Tesla V100,1880,48,2.2188,0
NVIDIA Tesla V100,1893,220010,0.187171,1
NVIDIA Tesla V100,2216,12560,2.4224,1
NVIDIA Tesla V100,2260,317,0.771888,1
NVIDIA Tesla V100,2266,3609,2.08984,1
NVIDIA Tesla V100,2267,3449,2.44038,1
NVIDIA Tesla V100,2277,12812,2.80317,1
NVIDIA Tesla V100,2336,57,12.5155,0
NVIDIA Tesla V100,936,2,8.02929,0
NVIDIA Tesla V100,2547,488,8.42634,1
NVIDIA Tesla V100,802,476,0.932851,1
NVIDIA Tesla V100,811,47,0.6746,1
NVIDIA Tesla V100,812,58,1.6316,0
NVIDIA Tesla V100,820,15,5.2626,0
NVIDIA Tesla V100,896,69,5.1207,1
NVIDIA Tesla V100,898,939,0.843082,1
NVIDIA Tesla V100,914,5365,0.614422,1
NVIDIA Tesla V100,915,15058,1.5006,1
NVIDIA Tesla V100,916,35067,4.63998,1
NVIDIA Tesla V100,928,630,0.2569,1
NVIDIA Tesla V100,931,166,0.35,1
NVIDIA Tesla V100,932,262,0.3475,1
NVIDIA Tesla V100,948,136,10.897,1
NVIDIA Tesla V100,963,98,2.6991,1
NVIDIA Tesla V100,971,23,16.447,0
NVIDIA Tesla V100,972,81,3.7321,1
NVIDIA Tesla V100,973,80,3.6904,1
Intel Xeon Gold,1362,1,18.0665,0
Intel Xeon Gold,1629,25,0.0319832,0
Intel Xeon Gold,1420,13933,3.87417,1
Intel Xeon Gold,1580,74,23.2159,1
Intel Xeon Gold,287,6,0.0320083,0
Intel Xeon Gold,1643,52,1.46435,0
Intel Xeon Gold,1852,39,3.7451,0
Intel Xeon Gold,1858,267,1.47664,0
Intel Xeon Gold,938,5,16.5225,1
Intel Xeon Gold,1867,4,2.21954,0
Intel Xeon Gold,1880,48,1.53618,0
Intel Xeon Gold,1893,220010,5.17868,1
Intel Xeon Gold,2216,12560,34.1645,1
Intel Xeon Gold,2260,317,3.60591,1
Intel Xeon Gold,2266,3609,12.917,1
Intel Xeon Gold,2267,3449,15.1795,1
Intel Xeon Gold,2277,12812,31.3724,1
Intel Xeon Gold,2336,57,10.1288,0
Intel Xeon Gold,936,2,2.67372,0
Intel Xeon Gold,2547,488,32.2962,1
Intel Xeon Gold,802,476,4.71197,1
Intel Xeon Gold,811,47,1.20435,1
Intel Xeon Gold,812,58,1.27135,0
Intel Xeon Gold,820,15,1.23002,0
Intel Xeon Gold,896,69,8.25685,1
Intel Xeon Gold,898,939,5.4859,1
Intel Xeon Gold,914,5365,10.3947,1
Intel Xeon Gold,915,15058,39.8956,1
Intel Xeon Gold,916,35067,151.34,1
Intel Xeon Gold,928,630,2.03783,1
Intel Xeon Gold,931,166,1.59885,1
Intel Xeon Gold,932,262,2.72752,1
Intel Xeon Gold,948,136,23.3579,1
Intel Xeon Gold,963,98,4.70879,1
Intel Xeon Gold,971,23,13.675,0
Intel Xeon Gold,972,81,6.68109,1
Intel Xeon Gold,973,80,6.58302,1
