MKL(seq) Ana,MKL(par) Ana,cuSPARSE(v1) iluAna,cuSPARSE(v2)iluAna,Sync-Free ilu Ana,MKL(seq) ilu,MKL(par) ilu,cuSPARSE(v1) ilu,cuSPARSE(v2)iu,Sync-Free ilu,cuSPARSE(v1) ana,cusparse(v2)ana,Sync-Free ana,MKL(seq) 10 iter,MKL(par) 10 iter,cuSPARSE(v1)  10 iter,cuSPARSE(v2)lvl,cuSPARSE(v2)nolvl  10 iter,Sync-Free  10 iter,FE_ilu,m,FE_oh_wo,Emp_oh_wo,FE_oh_w,Emp_oh_w,SycnFree_LU
1.02259,1.15236,0,0.55808,0,0.995689,1.06146,1.99168,1.72749,0,4.52864,1.72749,0.0068,0.271778,0.268412,6.0104,4.34646,4.83837,4.33,0.00233472,1000,0.123015839,0.02632835,0.125350559,0.032662749,0.019
1.15278,1.02678,0,0.61744,0,1.02868,1.06575,2.67878,1.71008,0,7.18134,1.71008,0.0054,0.316618,0.297901,10.635,4.89814,6.02726,8.129,0.00236032,1000,0.233533026,0.041375689,0.235893346,0.048476419,0.021
1.14266,1.08253,0,0.212992,0,0.957335,1.20738,0.191488,0.11776,0,2.28403,0.11776,0.0056,0.285624,0.331106,0.487712,0.570816,0.604128,0.338,0.00039424,1000,0.007550464,0.007204336,0.007944704,0.009891291,0.023
1.2549,1.19585,0,0.212992,0,1.03941,1.03609,0.192512,0.11776,0,2.30477,0.11776,0.007,0.29656,0.333743,0.494016,0.576224,0.607168,0.347,0.000392192,1000,0.007454304,0.007309431,0.007846496,0.009908195,0.024
1.23708,1.08711,0,0.214016,0,1.39891,1.28544,0.601088,0.164864,0,3.48995,0.164864,0.0054,0.335739,0.381742,0.895968,0.568256,0.565248,0.325,0.000428032,1015,0.007280064,0.009182917,0.007708096,0.012847235,0.062
1.08163,1.07774,0,0.18944,0,1.05003,1.14009,0.2488,0.058368,0,2.72899,0.058368,0.0055,0.303347,0.330077,0.567328,0.349888,0.338944,0.207,0.000314368,1020,0.004128736,0.007213632,0.004443104,0.00990036,0.032
1.37557,0.775979,0,0.25088,0,1.05756,1.06288,0.328704,0.276448,0,2.53565,0.276448,0.006,0.330746,0.309342,1.54288,1.26445,0.833536,1.014,0.000571392,1028,0.030105441,0.010272422,0.030676833,0.013248894,0.015
1.07492,1.03782,0,0.251872,0,1.09293,1.18971,0.328672,0.274432,0,2.56397,0.274432,0.0062,0.284701,0.306233,1.54474,1.26234,0.838656,1.015,0.000570336,1028,0.0303592,0.010247821,0.030929536,0.013385437,0.014
1.26993,1.17609,0,0.218144,0,1.01473,1.15714,0.412704,0.126976,0,3.06784,0.126976,0.006,0.293823,0.332141,0.680384,0.576512,0.582656,0.34,0.000392192,1030,0.007116096,0.008119072,0.007508288,0.011048766,0.036
1.37193,1.26623,0,0.237568,0,2.12294,2.11835,1.52986,0.244736,0,3.46112,0.244736,0.006,0.353748,0.429987,1.26403,1.04704,0.777216,0.563,0.000509952,1041,0.01317488,0.010592897,0.013684832,0.016846351,0.056
