m,nnzs,lvls,max_rl_cnt,max_cl_cnt,min_cl_cnt,min_rl_cnt,max_nnz_pl_rw,max_nnz_pl_cw,max_rl,max_cl,mean_rl,max_rpl,median_rpl,median_rl,median_cl,mean_nnz_pl_rw,std_rpl,std_nnz_pl_rw,std_rl,std_cl,mean_rpl,mean_max_cl_pl,mean_mean_cl_pl,mean_std_cl_pl,mean_max_rl_pl,mean_std_rl_pl,mean_mean_rl_pl,mean_min_rl_pl,mean_median_rl_pl,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree,winner,CPU winner,GPU winner,2nd,3rd,4th,5th,6th
1000,2498,501,499,499,1,1,5,5,3,3,2.498,2,2,2,2,4.986028,0.063056,0.204257,0.501992,0.501992,1.996008,2.994012,2.497006,0.497006,2.994012,0.497006,2.497006,2,2.497006,0.0271778,0.0268412,0.60104,0.434646,0.483837,0.433,2,2,7,1,6,4,5,3
1000,2498,1000,499,499,1,1,3,3,3,3,2.498,1,1,2,2,2.498,0,0.501992,0.501992,0.501992,1,2.498,2.498,0,2.498,0,2.498,2.498,2.498,0.0316618,0.0297901,1.0635,0.489814,0.602726,0.8129,2,2,4,1,4,5,6,3
1000,2375,28,126,144,324,325,325,341,4,4,2.375,325,25.5,3,3,84.821426,57.429367,64.775459,1.066009,1.081839,35.714287,3.75,2.758489,0.562708,3.642857,0.426253,2.921965,2.285714,2.839286,0.0285624,0.0331106,0.0487712,0.0570816,0.0604128,0.0338,1,1,7,2,6,3,4,5
1000,2375,28,126,144,324,325,325,341,4,4,2.375,325,25.5,3,3,84.821426,57.429367,64.775459,1.066009,1.081839,35.714287,3.75,2.758489,0.562708,3.642857,0.426253,2.921965,2.285714,2.839286,0.029656,0.0333743,0.0494016,0.0576224,0.0607168,0.0347,1,1,7,2,6,3,4,5
1015,6009,27,1,3,1,41,452,677,17,14,5.920197,105,33,6,6,222.555557,29.989208,124.710732,3.11844,2.175215,37.592594,8.481482,5.004204,1.491335,10.481482,1.144572,8.609994,6.592593,8.62963,0.0335739,0.0381742,0.0895968,0.0568256,0.0565248,0.0325,6,1,7,1,2,5,4,3
1020,3795,14,22,4,204,63,489,800,11,15,3.720588,222,65,3,3,271.071442,52.729572,151.203491,2.150551,2.864141,72.85714,8,3.308777,1.887844,7.142857,1.377544,4.187767,2.785714,4.071429,0.0303347,0.0330077,0.0567328,0.0349888,0.0338944,0.0207,6,1,7,1,2,5,4,3
1028,2061,120,1,24,19,28,50,68,8,3,2.004864,28,4,2,2,17.174999,8.43083,16.534643,0.340199,0.204463,8.566667,2.041667,1.984877,0.047616,2.158333,0.042421,2.073602,2.041667,2.058333,0.0330746,0.0309342,0.154288,0.126445,0.0833536,0.1014,2,2,6,1,5,6,4,3
1028,2061,120,1,24,19,28,50,68,8,3,2.004864,28,4,2,2,17.174999,8.43083,16.534643,0.340199,0.204463,8.566667,2.041667,1.984877,0.047616,2.158333,0.042421,2.073602,2.041667,2.058333,0.0284701,0.0306233,0.154474,0.126234,0.0838656,0.1015,1,1,6,2,5,6,4,3
1030,3944,27,8,12,2,5,368,374,11,6,3.829126,96,27,4,4,146.074081,32.184311,122.614403,1.327062,0.75936,38.148148,4.37037,3.555394,0.575638,7.333333,0.992863,3.885874,2.814815,3.666667,0.0293823,0.0332141,0.0680384,0.0576512,0.0582656,0.034,1,1,7,2,6,4,5,3
1041,5358,50,1,1,392,5,538,668,15,658,5.146974,99,14.5,5,2,107.160004,18.462599,105.308571,1.507749,27.098577,20.82,45.060001,19.614313,14.32034,7.26,0.98329,5.005135,3.4,4.8,0.0353748,0.0429987,0.126403,0.104704,0.0777216,0.0563,1,1,7,2,6,5,4,3
