hit,ID,group,name,image,rows,cols,nonzeros,kind
1,1905,Schenk,nlpkkt240,,27993600,27993600,760648352,optimization problem
2,1904,Schenk,nlpkkt200,,16240000,16240000,440225632,optimization problem
3,1903,Schenk,nlpkkt160,,8345600,8345600,225422112,optimization problem
4,2276,Freescale,circuit5M,,5558326,5558326,59524291,circuit simulation problem
5,916,vanHeukelum,cage15,,5154859,5154859,99199551,directed weighted graph
6,1398,Rajat,rajat31,,4690002,4690002,20316253,circuit simulation problem
7,1902,Schenk,nlpkkt120,,3542400,3542400,95117792,optimization problem
8,2277,Freescale,circuit5M_dc,,3523317,3523317,14865409,circuit simulation problem
9,2216,Freescale,Freescale1,,3428755,3428755,17052626,circuit simulation problem
10,2380,Freescale,FullChip,,2987012,2987012,26621983,circuit simulation problem
11,2274,Freescale,memchip,,2707524,2707524,13343948,circuit simulation problem
12,2273,Stevenson,LargeRegFile,,2111154,801374,4944201,circuit simulation problem
13,1876,Zaoui,kkt_power,,2063494,2063494,12771361,optimization problem
14,2384,Fluorem,HV15R,,2017169,2017169,283073458,computational fluid dynamics problem
15,1881,Rucci,Rucci1,,1977885,109900,7791168,least squares problem
16,1664,Mittelmann,cont1_l,,1918399,1921596,7031999,linear programming problem
17,2218,Bates,sls,,1748122,62729,6804304,least squares problem
18,1421,AMD,G3_circuit,,1585478,1585478,7660826,circuit simulation problem
19,2544,Janna,Flan_1565,,1564794,1564794,114165372,structural problem
20,1586,Schenk_AFE,af_shell10,,1508065,1508065,52259885,structural problem
21,915,vanHeukelum,cage14,,1505785,1505785,27130349,directed weighted graph
22,2546,Janna,Hook_1498,,1498023,1498023,59374451,structural problem
23,2267,Bourchtein,atmosmodl,,1489752,1489752,10319760,computational fluid dynamics problem
24,1663,Mittelmann,cont11_l,,1468599,1961394,5382999,linear programming problem
25,2547,Janna,StocF-1465,,1465137,1465137,21005389,computational fluid dynamics problem
26,1201,Hamrle,Hamrle3,,1447360,1447360,5514242,circuit simulation problem
27,2545,Janna,Geo_1438,,1437960,1437960,60236322,structural problem
28,2541,Janna,Serena,,1391349,1391349,64131971,structural problem
29,2265,Bourchtein,atmosmodd,,1270432,1270432,8814880,computational fluid dynamics problem
30,2266,Bourchtein,atmosmodj,,1270432,1270432,8814880,computational fluid dynamics problem
31,1403,Schmid,thermal2,,1228045,1228045,8580313,thermal problem
32,2386,Dziekonski,dielFilterV2real,,1157456,1157456,48538952,electromagnetics problem
33,2388,Dziekonski,dielFilterV3real,,1102824,1102824,89306020,electromagnetics problem
34,1901,Schenk,nlpkkt80,,1062400,1062400,28192672,optimization problem
35,2379,Williams,webbase-1M,,1000005,1000005,3105536,weighted directed graph
36,1882,McRae,ecology1,,1000000,1000000,4996000,2D/3D problem
37,1883,McRae,ecology2,,999999,999999,4995991,2D/3D problem
38,1453,Oberwolfach,bone010,,986703,986703,47851783,model reduction problem
39,1268,GHS_psdef,ldoor,,952203,952203,42493817,structural problem
40,1252,GHS_psdef,audikw_1,,943695,943695,77651847,structural problem
41,2542,Janna,Emilia_923,,923136,923136,40373538,structural problem
42,1898,CEMW,tmt_unsym,,917825,917825,4584801,electromagnetics problem
43,1455,Oberwolfach,boneS10,,914898,914898,40878708,model reduction problem
44,1899,CEMW,tmt_sym,,726713,726713,5080961,electromagnetics problem
45,1423,GHS_psdef,apache2,,715176,715176,4817870,structural problem
46,1419,Sandia,ASIC_680k,,682862,682862,2638997,circuit simulation problem
47,1420,Sandia,ASIC_680ks,,682712,682712,1693767,circuit simulation problem
48,285,ATandT,pre2,,659033,659033,5834044,frequency-domain circuit simulation problem
49,1396,Rajat,rajat29,,643994,643994,3760246,circuit simulation problem
50,1397,Rajat,rajat30,,643994,643994,6175244,circuit simulation problem
51,2543,Janna,Fault_639,,638802,638802,27245944,structural problem
52,2329,Dziekonski,gsm_106857,,589446,589446,21758924,electromagnetics problem
53,1660,Mittelmann,stormG2_1000,,528185,1377306,3459881,linear programming problem
54,1853,Wissgott,parabolic_fem,,525825,525825,3674625,computational fluid dynamics problem
55,940,Schenk_AFE,af_shell1,,504855,504855,17562051,structural problem sequence
56,941,Schenk_AFE,af_shell2,,504855,504855,17562051,subsequent structural problem
57,942,Schenk_AFE,af_shell3,,504855,504855,17562051,subsequent structural problem
58,943,Schenk_AFE,af_shell4,,504855,504855,17562051,subsequent structural problem
59,944,Schenk_AFE,af_shell5,,504855,504855,17579155,subsequent structural problem
60,945,Schenk_AFE,af_shell6,,504855,504855,17579155,subsequent structural problem
61,946,Schenk_AFE,af_shell7,,504855,504855,17579155,subsequent structural problem
62,947,Schenk_AFE,af_shell8,,504855,504855,17579155,subsequent structural problem
63,948,Schenk_AFE,af_shell9,,504855,504855,17588845,subsequent structural problem
64,1267,GHS_psdef,inline_1,,503712,503712,36816170,structural problem
65,1580,Schenk_AFE,af_0_k101,,503625,503625,17550675,structural problem
66,1581,Schenk_AFE,af_1_k101,,503625,503625,17550675,structural problem
67,1582,Schenk_AFE,af_2_k101,,503625,503625,17550675,structural problem
68,1583,Schenk_AFE,af_3_k101,,503625,503625,17550675,structural problem
69,1584,Schenk_AFE,af_4_k101,,503625,503625,17550675,structural problem
